"","Intended Use","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"168","GS",3659653.12,3236656.03,3960068.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","GZ",274258031.36,269181115.39,291269280.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Hogged Peanuts",NA,NA,NA,1125.4,225,9.38,813.39,1844.63,516.6,57.72,148.19,246.87,426.09
"171","HP",115.9,200.8,230.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","JU",15904.25,14845.48,41877.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Juice",NA,NA,NA,35571.04,34366.52,27205.4,43671.4772,61592.3352,NA,NA,NA,NA,NA
"174","Leaf Tips",NA,NA,NA,17.3,16.58,NA,0.64,0.13,0.72,0.04,NA,NA,NA
"175","Leaves",NA,NA,NA,17.94,3.1,5219.99,4655.6,4148.842,3406.3228,2589.5028,2513.56,3358.7328,138.92
"176","Left Standing",NA,NA,NA,7907037.95,8047176.41,7134408.16,7393788.2824,8570451.1915,7921116.4924,7736680.5588,6996423.0579,6915436.5445,6758879.5494
"177","LF",0.5,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","LS",5561209.53,6647077.71,8493692.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","LT",46.7,14.6,76.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","LV",2,7,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","ML",419.65,313.19,281.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Molasses",NA,NA,NA,326.19,365.57,279.46,382.57,535.51,496.48,326.96,444.89,281.0304,260.15
"183","Nontable",NA,NA,NA,215210.2,210226,229292.7,330520.2,284714.1,183850.56,171543.3,197098.94,184320,206402.28
"184","NP",1101516.1,1265826.91,1549422.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","NT",20214,40860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Nut Peanuts",NA,NA,NA,2292491.1,1483456.39,1898515.47,2317853.983,2350981.205,2707359.54,2077083.285,2112131.7951,2488303.0422,2322641.739
"187","Oil",NA,NA,NA,87235.91,56145.06,29456.52,52960.68,30406.785,27775.63,24192.74,55338.79,37389.56,42116.6496
"188","OL",111218.18,119363.35,68499.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","PR",4228603.45,4125124.12,5813981.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Processed",NA,NA,NA,6649552.58,6501357.46,6099509.4,8272861.1014,8525420.142,8552411.6019,9008123.3213,9850687.1396,9073897.2781,8968589.0236
"191","Root",NA,NA,NA,24.98,45.11,43.05,43,21.91,55.13,25.1,45.33,20.5,17.769
"192","Rootstock",NA,NA,NA,4953.48,5568.88,3684.41,3820.75,3321.125,2514.575,4499.765,2913.515,1922.295,1818.455
"193","RS",3028.16,3177.84,6192.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
